"SampleID","Individual_ID","UniProt","GeneID","Assay","NPX","Panel","Index"
"CV79_38","CV79","P05362","ICAM1","ICAM1",6.27091,"CM",38
"CV1_39","CV1","P05362","ICAM1","ICAM1",6.40309,"CM",39
"CV51_40","CV51","P05362","ICAM1","ICAM1",7.51166,"CM",40
"CV42_41","CV42","P05362","ICAM1","ICAM1",7.39585,"CM",41
"CV19_42","CV19","P05362","ICAM1","ICAM1",7.17088,"CM",42
"CV70_43","CV70","P05362","ICAM1","ICAM1",6.86847,"CM",43
"C78_44","C78","P05362","ICAM1","ICAM1",8.1015,"CM",44
"CV10_45","CV10","P05362","ICAM1","ICAM1",6.0453,"CM",45
"CV8_46","CV8","P05362","ICAM1","ICAM1",6.25168,"CM",46
"CV60_47","CV60","P05362","ICAM1","ICAM1",7.16345,"CM",47
"CV35_48","CV35","P05362","ICAM1","ICAM1",7.20667,"CM",48
"CV48_49","CV48","P05362","ICAM1","ICAM1",7.13111,"CM",49
"CV76_50","CV76","P05362","ICAM1","ICAM1",7.62019,"CM",50
"CV12_51","CV12","P05362","ICAM1","ICAM1",6.42372,"CM",51
"C58_52","C58","P05362","ICAM1","ICAM1",6.42446,"CM",52
"CV53_53","CV53","P05362","ICAM1","ICAM1",7.57291,"CM",53
"CV50_54","CV50","P05362","ICAM1","ICAM1",6.76674,"CM",54
"CV32_56","CV32","P05362","ICAM1","ICAM1",6.20804,"CM",56
"C197_57","C197","P05362","ICAM1","ICAM1",6.5717,"CM",57
"CV18_58","CV18","P05362","ICAM1","ICAM1",7.64364,"CM",58
"CV29_59","CV29","P05362","ICAM1","ICAM1",7.39692,"CM",59
"CV34_60","CV34","P05362","ICAM1","ICAM1",6.52367,"CM",60
"CV41_61","CV41","P05362","ICAM1","ICAM1",6.34012,"CM",61
"CV9_62","CV9","P05362","ICAM1","ICAM1",6.88327,"CM",62
"CV74_63","CV74","P05362","ICAM1","ICAM1",6.62046,"CM",63
"CV16_64","CV16","P05362","ICAM1","ICAM1",6.80523,"CM",64
"CV21_1","CV21","O00533","CHL1","CHL1",3.58556,"CM",1
"C161_2","C161","O00533","CHL1","CHL1",3.06519,"CM",2
"C173_3","C173","O00533","CHL1","CHL1",3.05756,"CM",3
"CV11_4","CV11","O00533","CHL1","CHL1",2.95633,"CM",4
"CV59_5","CV59","O00533","CHL1","CHL1",2.84895,"CM",5
"C193_6","C193","O00533","CHL1","CHL1",2.74988,"CM",6
"C33_7","C33","O00533","CHL1","CHL1",2.77383,"CM",7
"CV39_8","CV39","O00533","CHL1","CHL1",4.35603,"CM",8
"CV6_9","CV6","O00533","CHL1","CHL1",4.27962,"CM",9
"CV38_10","CV38","O00533","CHL1","CHL1",3.49246,"CM",10
"CV4_11","CV4","O00533","CHL1","CHL1",2.94586,"CM",11
"C195_12","C195","O00533","CHL1","CHL1",3.34335,"CM",12
"CV1_13","CV1","O00533","CHL1","CHL1",2.69261,"CM",13
"C237_14","C237","O00533","CHL1","CHL1",3.09251,"CM",14
"CV2_15","CV2","O00533","CHL1","CHL1",2.48559,"CM",15
"C189_16","C189","O00533","CHL1","CHL1",2.79045,"CM",16
"CV42_17","CV42","O00533","CHL1","CHL1",3.82158,"CM",17
"CV79_18","CV79","O00533","CHL1","CHL1",3.25357,"CM",18
"CV3_19","CV3","O00533","CHL1","CHL1",2.69262,"CM",19
"CV36_20","CV36","O00533","CHL1","CHL1",3.25191,"CM",20
"CV55_21","CV55","O00533","CHL1","CHL1",3.10574,"CM",21
"C246_22","C246","O00533","CHL1","CHL1",3.31056,"CM",22
"CV30_23","CV30","O00533","CHL1","CHL1",2.91488,"CM",23
"CV19_24","CV19","O00533","CHL1","CHL1",2.66501,"CM",24
"CV13_25","CV13","O00533","CHL1","CHL1",3.46335,"CM",25
"C137_26","C137","O00533","CHL1","CHL1",3.20002,"CM",26
"CV47_27","CV47","O00533","CHL1","CHL1",3.53069,"CM",27
"CV29_28","CV29","O00533","CHL1","CHL1",3.95868,"CM",28
"CV14_29","CV14","O00533","CHL1","CHL1",2.82759,"CM",29
"CV56_30","CV56","O00533","CHL1","CHL1",3.77844,"CM",30
"CV82_31","CV82","O00533","CHL1","CHL1",2.98991,"CM",31
"CV23_32","CV23","O00533","CHL1","CHL1",3.28873,"CM",32
"CV37_33","CV37","O00533","CHL1","CHL1",4.59875,"CM",33
"CV34_34","CV34","O00533","CHL1","CHL1",4.43965,"CM",34
"CV58_35","CV58","O00533","CHL1","CHL1",3.40611,"CM",35
"CV22_36","CV22","O00533","CHL1","CHL1",3.52551,"CM",36
"CV65_37","CV65","O00533","CHL1","CHL1",3.43487,"CM",37
"CV79_38","CV79","O00533","CHL1","CHL1",3.13931,"CM",38
"CV1_39","CV1","O00533","CHL1","CHL1",2.73934,"CM",39
"CV51_40","CV51","O00533","CHL1","CHL1",3.24763,"CM",40
"CV42_41","CV42","O00533","CHL1","CHL1",3.80041,"CM",41
"CV19_42","CV19","O00533","CHL1","CHL1",3.12758,"CM",42
"CV70_43","CV70","O00533","CHL1","CHL1",3.9587,"CM",43
"C78_44","C78","O00533","CHL1","CHL1",3.66053,"CM",44
"CV10_45","CV10","O00533","CHL1","CHL1",4.08773,"CM",45
"CV8_46","CV8","O00533","CHL1","CHL1",2.88739,"CM",46
"CV60_47","CV60","O00533","CHL1","CHL1",3.40674,"CM",47
"CV35_48","CV35","O00533","CHL1","CHL1",3.6389,"CM",48
"CV48_49","CV48","O00533","CHL1","CHL1",3.77981,"CM",49
"CV76_50","CV76","O00533","CHL1","CHL1",3.45484,"CM",50
"CV12_51","CV12","O00533","CHL1","CHL1",3.06313,"CM",51
"C58_52","C58","O00533","CHL1","CHL1",3.15025,"CM",52
"CV53_53","CV53","O00533","CHL1","CHL1",3.59699,"CM",53
"CV50_54","CV50","O00533","CHL1","CHL1",3.3311,"CM",54
"CV32_56","CV32","O00533","CHL1","CHL1",3.02252,"CM",56
"C197_57","C197","O00533","CHL1","CHL1",3.54878,"CM",57
"CV18_58","CV18","O00533","CHL1","CHL1",3.37839,"CM",58
"CV29_59","CV29","O00533","CHL1","CHL1",3.07055,"CM",59
"CV34_60","CV34","O00533","CHL1","CHL1",4.31387,"CM",60
"CV41_61","CV41","O00533","CHL1","CHL1",3.21505,"CM",61
"CV9_62","CV9","O00533","CHL1","CHL1",3.22963,"CM",62
"CV74_63","CV74","O00533","CHL1","CHL1",3.8143,"CM",63
"CV16_64","CV16","O00533","CHL1","CHL1",3.07195,"CM",64
"CV21_1","CV21","Q15582","TGFBI","TGFBI",10.14807,"CM",1
"C161_2","C161","Q15582","TGFBI","TGFBI",8.45201,"CM",2
"C173_3","C173","Q15582","TGFBI","TGFBI",8.82712,"CM",3
"CV11_4","CV11","Q15582","TGFBI","TGFBI",8.8792,"CM",4
"CV59_5","CV59","Q15582","TGFBI","TGFBI",7.52403,"CM",5
"C193_6","C193","Q15582","TGFBI","TGFBI",7.4501,"CM",6
"C33_7","C33","Q15582","TGFBI","TGFBI",8.06115,"CM",7
"CV39_8","CV39","Q15582","TGFBI","TGFBI",9.47123,"CM",8
"CV6_9","CV6","Q15582","TGFBI","TGFBI",9.06022,"CM",9
"CV38_10","CV38","Q15582","TGFBI","TGFBI",9.68252,"CM",10
"CV4_11","CV4","Q15582","TGFBI","TGFBI",9.39204,"CM",11
"C195_12","C195","Q15582","TGFBI","TGFBI",7.96463,"CM",12
"CV1_13","CV1","Q15582","TGFBI","TGFBI",8.05197,"CM",13
"C237_14","C237","Q15582","TGFBI","TGFBI",8.381,"CM",14
"CV2_15","CV2","Q15582","TGFBI","TGFBI",8.15619,"CM",15
"C189_16","C189","Q15582","TGFBI","TGFBI",8.76601,"CM",16
"CV42_17","CV42","Q15582","TGFBI","TGFBI",10.12825,"CM",17
"CV79_18","CV79","Q15582","TGFBI","TGFBI",8.66773,"CM",18
"CV3_19","CV3","Q15582","TGFBI","TGFBI",7.69904,"CM",19
"CV36_20","CV36","Q15582","TGFBI","TGFBI",9.38521,"CM",20
"CV55_21","CV55","Q15582","TGFBI","TGFBI",8.56998,"CM",21
"C246_22","C246","Q15582","TGFBI","TGFBI",7.93262,"CM",22
"CV30_23","CV30","Q15582","TGFBI","TGFBI",8.20691,"CM",23
"CV19_24","CV19","Q15582","TGFBI","TGFBI",9.40835,"CM",24
"CV13_25","CV13","Q15582","TGFBI","TGFBI",8.62233,"CM",25
"C137_26","C137","Q15582","TGFBI","TGFBI",7.8962,"CM",26
"CV47_27","CV47","Q15582","TGFBI","TGFBI",9.32221,"CM",27
"CV29_28","CV29","Q15582","TGFBI","TGFBI",8.85648,"CM",28
